ФИО;Паспорт;СНИЛС;Симптомы;Врач;Дата визита;Анализы;Дата получения;Стоимость;Карта;Повторный прием
Кириллов Леонид Ростиславович;77 33 464879;410-906-389 59;отечность, кожные проявления, реакции на раздражители;Аллерголог;2024-07-29T16:00;общий анализ крови;2024-07-31T16:30;850 руб.;GAZPROMBANK | VISA | 6646 5511 5230 2733;2024-08-01T17:30
Фадеев Максим Максимович;76 91 178428;201-176-916 96;вялость, частые срыгивания;Неонатолог;2024-09-23T13:00;общий анализ крови;2024-09-25T15:00;850 руб.;VTB BANK | MIR | 9812 8478 1495 3476;2024-09-26T16:00
Капустин Николай Аркадьевич;95 84 887780;641-240-462 46;тревожность, нарушения сна;Психиатр;2024-07-11T15:00;психодиагностика + общий анализ крови + биохимический анализ крови;2024-07-15T12:00;6700 руб.;SBERBANK OF RUSSIA | MIR | 2482 9080 2143 5649;2024-07-16T13:00
Веденин Владимир Всеволодович;60 74 686150;430-612-639 47;замедленная речь, нарушения речи, заикание;Логопед;2024-10-03T15:00;общий анализ крови + психодиагностика;2024-10-07T09:30;5850 руб.;SBERBANK OF RUSSIA | MASTERCARD | 7354 3971 4701 6388;2024-10-08T10:30
Егоров Руслан Сергеевич;77 60 381157;887-979-712 40;повышение давления, изменение мочи;Нефролог;2024-04-12T10:00;бактериологический посев мочи + УЗИ почек и мочевого пузыря + общий анализ мочи;2024-04-15T09:00;3690 руб.;MTS BANK | MIR | 4880 9108 8328 7295;2024-04-16T10:00
Коваленко Игорь Ростиславович;95 36 213599;936-789-989 42;стеснение в груди;Пульмонолог;2024-01-09T09:00;спирометрия + общий анализ крови;2024-01-10T16:00;2650 руб.;VTB BANK | MIR | 1643 3063 6568 8695;2024-01-11T17:00
Елисеев Марат Станиславович;71 39 165072;847-434-675 24;воспаление десен, чувствительность, неприятный запах;Стоматолог;2024-01-03T15:00;общий анализ крови + рентген зубов;2024-01-08T10:00;1550 руб.;VTB BANK | MIR | 7131 1291 1286 4969;2024-01-09T11:00
Беляев Тимур Георгиевич;N42208125;680-466-678 57;трудности глотания, боли в животе неясного происхождения, подозрение на внутренние изменения;Эндоскопист;2024-05-24T12:00;общий анализ крови;2024-05-27T15:30;850 руб.;GAZPROMBANK | MASTERCARD | 4738 4923 7339 4241;2024-05-28T16:30
Хмельников Даниил Эдуардович;81 31 586347;102-817-676 37;утомляемость, скованность движений, боли в суставах;Ортопед;2024-12-26T16:00;МРТ позвоночника;2024-12-30T10:00;6500 руб.;VTB BANK | MASTERCARD | 1396 1948 6826 1039;2024-12-31T11:00
Ширяев Григорий Тимофеевич;16 66 301549;716-184-375 28;нарушения речи;Логопед;2024-04-15T09:00;психодиагностика + общий анализ крови + аудиометрия;2024-04-16T13:00;7050 руб.;MTS BANK | MIR | 1289 3211 5821 1626;2024-04-17T14:00
Гурьев Давид Евгеньевич;61 83 786180;391-127-961 32;снижение энергии, ломота в теле;Терапевт;2024-04-22T11:00;биохимический анализ крови + общий анализ крови;2024-04-24T15:00;1700 руб.;GAZPROMBANK | MASTERCARD | 3319 3913 7254 8344;2024-04-25T16:00
Петров Игорь Яковлевич;80 51 801791;699-277-717 29;неприятный запах;Стоматолог;2024-11-01T10:00;биохимический анализ крови + общий анализ крови + рентген зубов;2024-11-04T17:00;2400 руб.;GAZPROMBANK | MASTERCARD | 1516 8449 5461 8937;2024-11-05T18:00
Харитонов Кирил Алексеевич;64 38 574289;831-589-797 77;боли в животе неясного происхождения, изжога;Эндоскопист;2024-08-05T17:00;колоноскопия;2024-08-08T14:00;7500 руб.;VTB BANK | MASTERCARD | 2336 2052 6652 4313;2024-08-09T15:00
Демьянов Демид Кириллович;46 12 595197;607-420-799 84;покраснение кожи, изменения структуры кожи, зуд;Дерматолог;2024-04-24T09:00;биохимический анализ крови;2024-04-25T14:00;850 руб.;TINKOFF BANK | MIR | 4685 9183 6794 8876;2024-04-26T15:00
Ильин Александр Витальевич;87 55 615359;405-171-375 49;повышенная температура, сыпь, отказ от еды;Педиатр;2024-05-10T08:00;общий анализ мочи;2024-05-13T08:00;290 руб.;MTS BANK | MASTERCARD | 8897 2926 1137 4485;2024-05-14T09:00
Орлов Марат Павлович;AB5105442;376-854-610 70;снижение активности, частые срыгивания, нестабильное дыхание;Неонатолог;2024-07-08T16:00;биохимический анализ крови + общий анализ мочи;2024-07-11T09:00;1140 руб.;MTS BANK | MASTERCARD | 1549 4435 9320 1465;2024-07-12T10:00
Макаров Корней Романович;52 24 633621;822-844-610 40;кашель;Пульмонолог;2024-08-19T10:00;рентген грудной клетки;2024-08-21T16:00;1200 руб.;GAZPROMBANK | MIR | 3327 2238 7801 8922;2024-08-22T17:00
Трофимов Александр Геннадьевич;27 29 597996;872-728-652 99;врожденные особенности;Генетик;2024-04-08T09:00;биохимический анализ крови + генетический анализ + общий анализ крови;2024-04-11T16:30;13700 руб.;SBERBANK OF RUSSIA | MIR | 8558 1290 3020 3177;2024-04-12T17:30
Рябов Марат Дмитриевич;N39935306;732-369-442 86;наследственные риски, врожденные особенности;Генетик;2024-08-14T11:00;биохимический анализ крови;2024-08-16T17:30;850 руб.;VTB BANK | VISA | 6457 1422 3823 3316;2024-08-19T18:30
Лопатин Лев Максимович;72 37 207090;895-381-120 68;замедленное восстановление, скованность;Реабилитолог;2024-01-24T11:00;консультация врача-реабилитолога + механотерапия;2024-01-25T11:30;5200 руб.;GAZPROMBANK | MIR | 4221 6836 5776 5471;2024-01-26T12:30
Поляков Прохор Валерьевич;33 39 283221;785-358-628 64;уплотнения;Онколог;2024-05-09T11:00;онкомаркеры;2024-05-13T09:00;2400 руб.;VTB BANK | MIR | 7314 8209 4404 3716;2024-05-14T10:00
Колесников Кузьма Иванович;96 27 139532;641-223-870 96;кашель, вялость;Педиатр;2024-04-10T16:00;общий анализ крови;2024-04-15T15:00;850 руб.;TINKOFF BANK | MASTERCARD | 5229 3415 2267 3679;2024-04-16T16:00
Алехин Савва Арсеньевич;N47808317;852-708-617 72;перепады настроения, апатия;Психиатр;2024-03-04T15:00;биохимический анализ крови + общий анализ крови + психодиагностика;2024-03-07T14:00;6700 руб.;VTB BANK | VISA | 6259 3901 2673 1472;2024-03-08T15:00
Крюков Александр Ростиславович;AB5719588;165-981-471 62;пищевой дискомфорт, проблемы с весом;Диетолог;2024-11-25T11:00;общий анализ мочи + биохимический анализ крови;2024-11-26T13:30;1140 руб.;SBERBANK OF RUSSIA | MIR | 5182 5643 4310 4431;2024-11-27T14:30
Котов Ростислав Никифорович;73 20 622669;996-717-770 16;светочувствительность;Офтальмолог;2024-05-13T14:00;офтальмоскопия + общий анализ крови;2024-05-14T12:30;1450 руб.;VTB BANK | MIR | 4884 4992 2335 4815;2024-05-15T13:30
Трофимов Арсений Арсеньевич;66 49 677130;462-933-642 38;напряжение голоса;Логопед;2024-06-13T17:00;общий анализ крови + психодиагностика + аудиометрия;2024-06-14T16:30;7050 руб.;TINKOFF BANK | MIR | 7197 8554 6720 7709;2024-06-17T17:30
Долгов Владислав Геннадьевич;AB4389177;616-414-498 99;проблемы с весом, снижение энергии, пищевой дискомфорт;Диетолог;2024-06-12T10:00;глюкоза крови;2024-06-14T16:00;260 руб.;VTB BANK | MASTERCARD | 8322 6536 4678 2847;2024-06-17T17:00
Капустин Аркадий Никифорович;67 37 697192;890-524-428 29;уплотнения;Онколог;2024-07-10T14:00;онкомаркеры + общий анализ крови + биохимический анализ крови;2024-07-15T12:00;4100 руб.;MTS BANK | MIR | 1665 3666 9474 6550;2024-07-16T13:00
Жарков Святослав Николаевич;N80292876;536-744-247 49;боли в суставах, утомляемость, скованность движений;Ортопед;2024-08-26T10:00;рентген грудной клетки;2024-08-27T11:00;1200 руб.;VTB BANK | MIR | 5248 5271 8275 8930;2024-08-28T12:00
Царев Федор Леонидович;22 19 328576;917-100-597 95;ухудшение переносимости нагрузки, обморочные состояния, резкая одышка;Кардиохирург;2024-08-05T17:00;коагулограмма;2024-08-08T15:00;800 руб.;VTB BANK | MASTERCARD | 4774 8916 6422 7244;2024-08-09T16:00
Романов Филипп Сергеевич;32 21 425779;822-492-681 24;головокружение;Кардиолог;2024-04-01T11:00;эхокардиография + ЭКГ + общий анализ крови;2024-04-04T16:30;6850 руб.;MTS BANK | MIR | 9276 6237 7683 5470;2024-04-05T17:30
Филатов Никита Валентинович;N86132445;240-443-316 46;неустойчивость, нарушение чувствительности;Невролог;2024-04-08T10:00;ЭЭГ;2024-04-11T09:00;1800 руб.;VTB BANK | MIR | 7761 1469 3681 8609;2024-04-12T10:00
Миронов Прохор Петрович;N25504637;125-806-869 27;повышенная температура, вялость;Педиатр;2024-10-11T16:00;биохимический анализ крови + общий анализ мочи;2024-10-14T17:00;1140 руб.;VTB BANK | MASTERCARD | 9448 3464 5658 3587;2024-10-15T18:00
Кудрявцев Захар Русланович;82 16 605713;863-592-432 10;острая локальная боль, отек тканей, покраснение;Хирург;2024-12-25T17:00;УЗИ органов брюшной полости + общий анализ крови;2024-12-27T14:00;3350 руб.;TINKOFF BANK | MIR | 7715 4884 5040 6556;2024-12-30T15:00
Савин Леонид Аркадьевич;80 71 801717;976-566-518 57;дискомфорт в животе, изменение аппетита;Гастроэнтеролог;2024-03-11T12:00;биохимический анализ крови + ФГДС;2024-03-14T12:00;6350 руб.;VTB BANK | MIR | 6642 7682 4376 6666;2024-03-15T13:00
Витков Захар Аркадьевич;N69333451;600-276-358 14;вялость;Педиатр;2024-11-25T12:00;биохимический анализ крови;2024-11-27T15:00;850 руб.;TINKOFF BANK | VISA | 3068 6939 3793 2046;2024-11-28T16:00
Орлов Руслан Юрьевич;83 72 269812;477-965-622 71;деформация, синяки, отек;Травматолог;2024-11-04T08:00;рентген сустава + МРТ сустава + общий анализ крови;2024-11-05T12:00;8850 руб.;VTB BANK | MASTERCARD | 5818 9486 8780 6330;2024-11-06T13:00
Витков Федор Семенович;26 90 850809;775-387-972 64;перепады настроения, нарушения сна;Психиатр;2024-08-28T16:00;общий анализ крови + биохимический анализ крови + психодиагностика;2024-08-30T16:30;6700 руб.;GAZPROMBANK | MASTERCARD | 2510 6013 1170 7116;2024-09-02T17:30
