ФИО;Паспорт;СНИЛС;Симптомы;Врач;Дата визита;Анализы;Дата получения;Стоимость;Карта;Повторный прием
Пахомов Харитон Федорович;14 95 314064;873-816-657 54;тяжесть после еды, дискомфорт в животе, изменение аппетита;Гастроэнтеролог;2024-05-06T13:00;биохимический анализ крови;2024-05-09T09:00;850 руб.;GAZPROMBANK | VISA | 6731 1206 6823 4482;2024-05-10T10:00
Родионов Яков Дмитриевич;AB2444888;836-728-957 52;вздутие, дискомфорт в животе;Гастроэнтеролог;2024-03-18T09:00;общий анализ крови;2024-03-19T10:00;850 руб.;GAZPROMBANK | MIR | 3768 9690 9573 6042;2024-03-20T11:00
Исаев Данила Константинович;66 92 408809;856-258-971 89;дискомфорт в носоглотке;Лор;2024-08-09T11:00;аудиометрия;2024-08-12T15:30;1200 руб.;VTB BANK | MASTERCARD | 5281 8221 7229 5447;2024-08-13T16:30
Коновчук Василий Давидович;N36172455;491-276-938 87;дискомфорт после еды, трудности глотания, боли в животе неясного происхождения;Эндоскопист;2024-05-06T16:00;ФГДС + колоноскопия + общий анализ крови;2024-05-07T10:00;13850 руб.;GAZPROMBANK | VISA | 7599 5941 1891 2477;2024-05-08T11:00
Коваленко Максим Захарович;36 41 557817;899-186-881 28;резкая одышка;Кардиохирург;2024-04-26T11:00;коагулограмма;2024-04-29T09:00;800 руб.;MTS BANK | MASTERCARD | 5252 3697 1642 8877;2024-04-30T10:00
Сидоров Егор Георгиевич;74 23 891639;222-154-895 54;высыпания, зуд;Дерматолог;2024-05-09T14:00;биохимический анализ крови + соскоб кожи на грибки + общий анализ крови;2024-05-13T11:00;2400 руб.;TINKOFF BANK | MASTERCARD | 1952 3693 1002 2193;2024-05-14T12:00
Овчинников Роман Степанович;79 20 729014;496-531-276 60;сухость;Офтальмолог;2024-10-28T12:00;томография глаза + офтальмоскопия;2024-10-29T12:00;1000 руб.;MTS BANK | VISA | 9389 7426 7977 5118;2024-10-30T13:00
Никитин Игнат Ильич;46 54 243161;647-461-464 61;перебои сердечного ритма;Кардиолог;2024-12-27T08:00;ЭКГ + общий анализ крови;2024-12-30T11:00;2350 руб.;MTS BANK | MASTERCARD | 9443 1790 2118 2620;2024-12-31T12:00
Краснов Илья Богданович;AB9501866;882-371-994 50;отек тканей;Хирург;2024-02-08T08:00;УЗИ органов брюшной полости + общий анализ крови + биохимический анализ крови;2024-02-12T16:00;4200 руб.;TINKOFF BANK | VISA | 8020 3143 9533 1438;2024-02-13T17:00
Самойлов Даниил Игоревич;AB1945415;912-579-995 51;сухость;Офтальмолог;2024-03-04T09:00;томография глаза + общий анализ крови;2024-03-06T13:00;1250 руб.;GAZPROMBANK | MIR | 3027 2163 6528 1326;2024-03-07T14:00
Кузин Игнат Данилович;62 37 524722;140-106-368 51;отказ от еды;Педиатр;2024-11-13T15:00;биохимический анализ крови + общий анализ крови;2024-11-15T16:00;1700 руб.;VTB BANK | VISA | 3164 5586 8541 8648;2024-11-18T17:00
Мочалов Руслан Давидович;45 44 931397;277-945-376 69;головная боль, замедленная реакция, мышечные подергивания;Невролог;2024-07-22T17:00;ЭЭГ + МРТ головного мозга;2024-07-24T09:30;9300 руб.;GAZPROMBANK | MIR | 4370 8234 5700 5311;2024-07-25T10:30
Жданов Владислав Антонович;N67785072;986-738-865 86;пищевой дискомфорт, проблемы с весом;Диетолог;2024-08-23T17:00;биохимический анализ крови + глюкоза крови + общий анализ мочи;2024-08-26T11:30;1400 руб.;SBERBANK OF RUSSIA | MASTERCARD | 7466 6603 8821 9246;2024-08-27T12:30
Жарков Станислав Елисеевич;AB8271459;972-739-379 32;потеря интереса, перепады настроения, апатия;Психиатр;2024-10-24T10:00;общий анализ крови;2024-10-28T17:00;850 руб.;TINKOFF BANK | MIR | 4967 5598 9719 7857;2024-10-29T18:00
Галкинов Игнат Ростиславович;50 72 635438;396-401-903 60;кашель, повышенная температура, сыпь;Педиатр;2024-09-27T15:00;общий анализ мочи;2024-09-30T15:00;290 руб.;SBERBANK OF RUSSIA | MASTERCARD | 1252 6472 1229 3695;2024-10-01T16:00
Федоров Игорь Егорович;93 67 431753;334-980-128 37;напряжение глаз, ухудшение зрения, сухость;Офтальмолог;2024-05-06T10:00;томография глаза + офтальмоскопия;2024-05-08T10:00;1000 руб.;TINKOFF BANK | MASTERCARD | 4033 8409 6609 1631;2024-05-09T11:00
Романов Илья Семенович;AB8997030;336-900-918 31;нарушения сна, тревожность;Психиатр;2024-12-05T12:00;общий анализ крови + психодиагностика + биохимический анализ крови;2024-12-09T14:30;6700 руб.;TINKOFF BANK | VISA | 7020 1067 4257 5581;2024-12-10T15:30
Карпов Захар Русланович;AB7591044;508-172-311 38;хроническая усталость, необъяснимая потеря веса;Онколог;2024-06-26T12:00;биохимический анализ крови + онкомаркеры + общий анализ крови;2024-06-28T15:30;4100 руб.;SBERBANK OF RUSSIA | VISA | 6875 9476 5424 1093;2024-07-01T16:30
Кузьмин Сергей Эдуардович;42 22 815352;999-576-497 58;необъяснимые симптомы;Генетик;2024-02-01T08:00;биохимический анализ крови + общий анализ крови + генетический анализ;2024-02-02T10:30;13700 руб.;VTB BANK | MASTERCARD | 3658 9738 1254 5077;2024-02-05T11:30
Кудрявцев Савва Федорович;AB8251174;598-238-723 60;необъяснимые симптомы, наследственные риски;Генетик;2024-09-03T13:00;генетический анализ + общий анализ крови + биохимический анализ крови;2024-09-05T14:00;13700 руб.;SBERBANK OF RUSSIA | MIR | 4836 3407 6831 7926;2024-09-06T15:00
Григорьев Влад Глебович;AB4291976;118-668-179 69;отечность, слезоточивость;Аллерголог;2024-05-21T08:00;общий анализ крови;2024-05-22T12:30;850 руб.;GAZPROMBANK | MIR | 8592 2559 1220 1026;2024-05-23T13:30
Архипов Кузьма Константинович;75 21 398237;807-542-253 86;кашель, отказ от еды;Педиатр;2024-01-15T13:00;общий анализ мочи + биохимический анализ крови + общий анализ крови;2024-01-17T08:00;1990 руб.;MTS BANK | VISA | 8079 9478 2192 4445;2024-01-18T09:00
Борисов Гавриил Артемьевич;28 29 547656;925-232-253 72;нестабильное дыхание, вялость;Неонатолог;2024-10-08T16:00;общий анализ крови + общий анализ мочи + биохимический анализ крови;2024-10-11T10:00;1990 руб.;MTS BANK | VISA | 2375 6380 7690 4052;2024-10-14T11:00
Волков Леон Дмитриевич;AB8253841;688-189-539 19;длительная боль;Онколог;2024-09-25T14:00;общий анализ крови;2024-09-30T14:00;850 руб.;GAZPROMBANK | MIR | 1368 2535 8457 5544;2024-10-01T15:00
Баранов Тимур Леонидович;N67344938;744-710-419 48;слабость при нагрузке, дискомфорт в груди;Кардиолог;2024-01-05T15:00;ЭКГ + общий анализ крови;2024-01-08T13:00;2350 руб.;GAZPROMBANK | VISA | 2499 9056 6532 3932;2024-01-09T14:00
Котов Георгий Андреевич;AB3637613;131-472-890 54;ломота в теле, общее недомогание;Терапевт;2024-06-12T16:00;биохимический анализ крови + общий анализ крови;2024-06-17T16:30;1700 руб.;TINKOFF BANK | MASTERCARD | 6006 2225 9981 8445;2024-06-18T17:30
Анисимов Тимур Иванович;AB2074524;130-663-522 15;слабость, повышение давления;Нефролог;2024-12-02T15:00;общий анализ мочи + бактериологический посев мочи;2024-12-05T11:00;1190 руб.;SBERBANK OF RUSSIA | MASTERCARD | 5982 7097 5579 9318;2024-12-06T12:00
Дроздов Ратмир Тимофеевич;51 61 570548;212-232-345 42;ухудшение переносимости нагрузки;Кардиохирург;2024-01-15T17:00;ЭКГ + коагулограмма + эхокардиография;2024-01-16T16:00;6800 руб.;SBERBANK OF RUSSIA | VISA | 6021 7467 1186 1833;2024-01-17T17:00
Жарков Святослав Федорович;15 27 323263;402-150-918 75;общее недомогание;Терапевт;2024-05-16T10:00;биохимический анализ крови + общий анализ крови + общий анализ мочи;2024-05-20T10:00;1990 руб.;TINKOFF BANK | VISA | 6098 7073 3185 5032;2024-05-21T11:00
Быков Мирон Вадимович;AB1174594;890-972-120 74;кашель, сыпь, отказ от еды;Педиатр;2024-03-04T17:00;общий анализ крови;2024-03-06T09:30;850 руб.;TINKOFF BANK | MIR | 7447 4059 4045 1906;2024-03-07T10:30
Громов Евдоким Кириллович;AB1186088;923-371-507 85;замедленная реакция, неустойчивость;Невролог;2024-05-17T12:00;МРТ головного мозга;2024-05-20T16:00;7500 руб.;SBERBANK OF RUSSIA | MIR | 1693 3321 8718 5108;2024-05-21T17:00
Шилов Кирил Богданович;49 87 279540;216-411-320 31;изжога;Эндоскопист;2024-09-09T15:00;ФГДС + общий анализ крови;2024-09-12T12:00;6350 руб.;TINKOFF BANK | MASTERCARD | 8343 7560 8212 9403;2024-09-13T13:00
Королев Данила Ильич;AB1317132;971-556-803 82;сухость;Офтальмолог;2024-04-04T13:00;офтальмоскопия;2024-04-08T17:30;600 руб.;MTS BANK | MASTERCARD | 3440 6518 8072 6318;2024-04-09T18:30
Крылов Дмитрий Дмитриевич;N88523653;951-103-637 80;деформация, отек;Травматолог;2024-07-16T08:00;рентген сустава + общий анализ крови + МРТ сустава;2024-07-18T12:00;8850 руб.;SBERBANK OF RUSSIA | MIR | 4212 8993 9101 2397;2024-07-19T13:00
Коротков Федор Арсеньевич;19 84 801513;808-533-415 37;хронические боли, мышечное напряжение, замедленное восстановление;Физиотерапевт;2024-03-04T13:00;ультразвуковая терапия;2024-03-07T13:00;450 руб.;TINKOFF BANK | MASTERCARD | 4199 8859 3013 5581;2024-03-08T14:00
Семенов Пётр Филиппович;AB9775174;973-819-554 95;замедленная реакция, головная боль, неустойчивость;Невролог;2024-09-23T16:00;ЭЭГ + МРТ головного мозга + общий анализ крови;2024-09-25T14:00;10150 руб.;MTS BANK | MASTERCARD | 1897 6314 4518 5237;2024-09-26T15:00
Климов Максим Тимофеевич;AB7133652;198-925-346 30;мышечная слабость;Реабилитолог;2024-11-05T09:00;консультация врача-реабилитолога + общий анализ крови + механотерапия;2024-11-07T15:30;6050 руб.;VTB BANK | VISA | 2841 2511 6246 7668;2024-11-08T16:30
Егоров Семён Давидович;N80635864;195-951-234 90;пищевой дискомфорт, проблемы с весом;Диетолог;2024-06-13T11:00;глюкоза крови + биохимический анализ крови + общий анализ мочи;2024-06-17T09:30;1400 руб.;SBERBANK OF RUSSIA | MIR | 4679 6796 1524 7041;2024-06-18T10:30
Агапов Богдан Филиппович;AB8247197;300-576-829 44;проблемы с весом;Диетолог;2024-12-23T14:00;общий анализ мочи;2024-12-26T13:00;290 руб.;MTS BANK | MASTERCARD | 3499 4923 5859 6063;2024-12-27T14:00
Горбунов Юрий Валентинович;30 51 298817;154-796-752 40;общее недомогание, слабость;Терапевт;2024-07-09T08:00;общий анализ мочи;2024-07-11T10:00;290 руб.;VTB BANK | VISA | 1807 8358 4052 5748;2024-07-12T11:00
Крылов Александр Владиславович;N44861258;579-230-984 57;воспаление десен;Стоматолог;2024-11-04T13:00;биохимический анализ крови + рентген зубов + общий анализ крови;2024-11-05T12:30;2400 руб.;TINKOFF BANK | VISA | 7772 4186 7323 1221;2024-11-06T13:30
Константинов Владимир Павлович;N82644673;913-211-239 75;кашель;Педиатр;2024-04-11T12:00;биохимический анализ крови;2024-04-15T09:00;850 руб.;VTB BANK | MIR | 2140 2630 8417 5422;2024-04-16T10:00
Фролов Максим Юрьевич;AB5046913;109-338-156 78;заикание, нарушения речи, напряжение голоса;Логопед;2024-12-02T17:00;общий анализ крови;2024-12-04T09:30;850 руб.;GAZPROMBANK | VISA | 7496 5667 3295 5801;2024-12-05T10:30
Демидов Гордей Олегович;N75090616;996-129-140 33;стресс, эмоциональное напряжение;Психотерапевт;2024-03-18T12:00;психодиагностика;2024-03-19T12:00;5000 руб.;TINKOFF BANK | MASTERCARD | 5985 3366 4775 5949;2024-03-20T13:00
Киселев Харитон Степанович;76 28 414279;829-679-283 61;вялость, нестабильное дыхание, снижение активности;Неонатолог;2024-03-15T15:00;общий анализ мочи + общий анализ крови;2024-03-18T16:00;1140 руб.;MTS BANK | MASTERCARD | 3836 8050 4633 9772;2024-03-19T17:00
Ульянов Антон Тимофеевич;23 40 965931;891-602-551 92;утомляемость, снижение подвижности;Реабилитолог;2024-07-15T17:00;консультация врача-реабилитолога;2024-07-18T13:30;4600 руб.;TINKOFF BANK | MIR | 4298 6642 1565 8412;2024-07-19T14:30
Куприянов Радимир Владиславович;AB1295160;443-259-140 43;уплотнения, хроническая усталость, необъяснимая потеря веса;Онколог;2024-01-09T14:00;биохимический анализ крови + общий анализ крови;2024-01-11T16:00;1700 руб.;VTB BANK | VISA | 6763 4489 4619 6012;2024-01-12T17:00
Исаков Павел Львович;53 96 109952;879-284-249 17;системные нарушения, врожденные особенности;Генетик;2024-05-21T15:00;биохимический анализ крови + генетический анализ;2024-05-22T10:30;12850 руб.;TINKOFF BANK | VISA | 5439 9305 8189 3060;2024-05-23T11:30
Устинов Геннадий Валентинович;N15014500;241-689-268 67;чихание;Аллерголог;2024-07-15T14:00;общий анализ крови;2024-07-16T09:00;850 руб.;TINKOFF BANK | MIR | 1096 6753 9398 3255;2024-07-17T10:00
Леонов Владислав Всеволодович;49 76 943249;784-928-927 32;снижение энергии;Терапевт;2024-07-15T14:00;общий анализ крови;2024-07-17T12:30;850 руб.;GAZPROMBANK | MIR | 7971 9986 1825 5385;2024-07-18T13:30
Лазарев Данила Эдуардович;AB9737113;959-614-855 55;тошнота, дискомфорт в животе, тяжесть после еды;Гастроэнтеролог;2024-02-05T15:00;ФГДС;2024-02-08T12:30;5500 руб.;GAZPROMBANK | VISA | 2870 3257 6025 2421;2024-02-09T13:30
Власов Филипп Александрович;64 28 490353;325-673-882 70;мышечные подергивания, неустойчивость, нарушение чувствительности;Невролог;2024-01-01T09:00;ЭЭГ;2024-01-02T16:00;1800 руб.;TINKOFF BANK | VISA | 7561 6456 4597 6023;2024-01-03T17:00
Афанасьев Влад Валентинович;86 92 442025;926-350-226 15;изменения структуры кожи;Дерматолог;2024-01-04T08:00;общий анализ крови + биохимический анализ крови + соскоб кожи на грибки;2024-01-08T17:00;2400 руб.;MTS BANK | MIR | 6273 7913 1433 5411;2024-01-09T18:00
Орлов Владимир Степанович;N33367916;983-463-305 64;сыпь, кашель, отказ от еды;Педиатр;2024-07-04T11:00;биохимический анализ крови + общий анализ мочи + общий анализ крови;2024-07-08T10:00;1990 руб.;MTS BANK | MIR | 8225 8735 3179 4144;2024-07-09T11:00
Никитин Илья Вадимович;21 88 928420;899-849-603 62;нарушение питания, пищевой дискомфорт, снижение энергии;Диетолог;2024-02-05T08:00;общий анализ мочи;2024-02-07T18:00;290 руб.;MTS BANK | VISA | 8795 3213 4757 7962;2024-02-08T09:30
Быстров Евгений Ильич;44 20 412446;359-232-519 96;тошнота;Гастроэнтеролог;2024-04-24T17:00;биохимический анализ крови + общий анализ крови + ФГДС;2024-04-26T15:00;7200 руб.;VTB BANK | MIR | 1053 1553 2242 4436;2024-04-29T16:00
Лихачев Кузьма Всеволодович;AB5121385;435-915-399 58;трудности глотания, дискомфорт после еды, подозрение на внутренние изменения;Эндоскопист;2024-06-10T13:00;колоноскопия;2024-06-12T17:30;7500 руб.;TINKOFF BANK | VISA | 2895 7379 4142 6305;2024-06-13T18:30
Пестов Тимофей Леонидович;AB9725468;105-477-459 26;скованность, снижение подвижности, утомляемость;Реабилитолог;2024-04-11T14:00;консультация врача-реабилитолога + механотерапия;2024-04-12T12:00;5200 руб.;SBERBANK OF RUSSIA | MASTERCARD | 4550 9140 7475 5685;2024-04-15T13:00
Ширяев Савелий Максимович;N39862295;792-616-502 69;подозрение на внутренние изменения, дискомфорт после еды, изжога;Эндоскопист;2024-10-21T13:00;колоноскопия + ФГДС + общий анализ крови;2024-10-24T15:00;13850 руб.;MTS BANK | MIR | 3171 4911 4078 5731;2024-10-25T16:00
Сергеев Влад Олегович;AB2041018;958-301-500 53;резкие изменения веса, жажда, снижение энергии;Эндокринолог;2024-03-25T17:00;ТТГ + анализ на гормоны щитовидной железы + глюкоза крови;2024-03-27T18:00;2170 руб.;GAZPROMBANK | VISA | 7693 7257 7176 4306;2024-03-28T17:00
Кудрявцев Константин Максимович;AB8273349;374-945-863 46;кашель, затрудненное дыхание, стеснение в груди;Пульмонолог;2024-08-13T10:00;общий анализ крови + спирометрия + рентген грудной клетки;2024-08-15T12:00;3850 руб.;TINKOFF BANK | VISA | 2352 5380 5456 2083;2024-08-16T13:00
Авдеев Тарас Иванович;N70612055;950-815-441 44;проблемы с весом;Диетолог;2024-04-18T08:00;общий анализ мочи + биохимический анализ крови;2024-04-22T18:00;1140 руб.;SBERBANK OF RUSSIA | VISA | 7276 5379 7662 5491;2024-04-23T13:30
Данилов Денис Евгеньевич;N77950161;947-497-322 76;дыхательный дискомфорт, стеснение в груди, ощущение нехватки воздуха;Пульмонолог;2024-01-17T15:00;общий анализ крови;2024-01-19T14:30;850 руб.;GAZPROMBANK | MIR | 9439 5927 7658 8699;2024-01-22T15:30
Медведев Эдуард Игоревич;N14524279;410-647-718 30;головокружение, перебои сердечного ритма;Кардиолог;2024-11-25T08:00;общий анализ крови + эхокардиография + коагулограмма;2024-11-26T10:00;6150 руб.;TINKOFF BANK | VISA | 5960 8832 1881 8980;2024-11-27T11:00
Витков Роман Степанович;AB5922683;474-629-542 71;утомляемость, дискомфорт при ходьбе;Ортопед;2024-07-08T17:00;МРТ позвоночника + рентген грудной клетки + общий анализ крови;2024-07-10T09:00;8550 руб.;TINKOFF BANK | MASTERCARD | 9032 2423 7398 5151;2024-07-11T10:00
Тарасов Олег Александрович;AB5811661;609-291-289 36;ограничение подвижности, мышечное напряжение;Физиотерапевт;2024-07-18T16:00;дарсонвализация + магнитотерапия;2024-07-22T15:00;850 руб.;SBERBANK OF RUSSIA | MIR | 6151 1677 2088 2856;2024-07-23T16:00
Филатов Руслан Андреевич;87 37 459379;805-636-225 64;мышечное напряжение, ограничение подвижности, хронические боли;Физиотерапевт;2024-10-28T09:00;магнитотерапия;2024-10-31T09:00;350 руб.;MTS BANK | MASTERCARD | 5845 6466 1764 9326;2024-11-01T10:00
Константинов Клим Степанович;N69876933;190-942-370 12;тревожные мысли;Психотерапевт;2024-07-22T13:00;общий анализ крови + ЭЭГ;2024-07-25T09:00;2650 руб.;VTB BANK | MASTERCARD | 4397 2005 5502 7338;2024-07-26T10:00
Терентьев Виктор Валентинович;N18612627;764-551-765 51;нестабильное дыхание;Неонатолог;2024-12-02T08:00;биохимический анализ крови + общий анализ мочи + общий анализ крови;2024-12-04T13:30;1990 руб.;TINKOFF BANK | VISA | 7732 9280 9664 2568;2024-12-05T14:30
Харитонов Виктор Степанович;98 64 701242;819-788-875 13;плохой набор веса;Неонатолог;2024-12-25T14:00;общий анализ мочи + биохимический анализ крови;2024-12-27T09:00;1140 руб.;VTB BANK | VISA | 7059 9659 9874 8028;2024-12-30T10:00
Терентьев Георгий Егорович;83 19 202800;855-609-198 43;сухость, светочувствительность;Офтальмолог;2024-12-16T09:00;томография глаза + офтальмоскопия + общий анализ крови;2024-12-17T16:00;1850 руб.;MTS BANK | MASTERCARD | 7632 9572 3683 9213;2024-12-18T17:00
Бирюков Мирон Антонович;37 60 956110;673-915-765 67;трудности произношения, замедленная речь, напряжение голоса;Логопед;2024-07-04T12:00;психодиагностика + аудиометрия;2024-07-08T08:00;6200 руб.;MTS BANK | MASTERCARD | 6047 9168 2643 3555;2024-07-09T09:00
Громов Прохор Валерьевич;N85665214;589-973-778 67;дискомфорт в животе;Гастроэнтеролог;2024-08-09T15:00;ФГДС;2024-08-12T10:30;5500 руб.;GAZPROMBANK | MASTERCARD | 9151 6005 7410 6330;2024-08-13T11:30
Чернов Ярослав Тимофеевич;N30283729;919-693-490 19;слабость;Терапевт;2024-03-13T12:00;общий анализ мочи + общий анализ крови + биохимический анализ крови;2024-03-15T17:00;1990 руб.;GAZPROMBANK | MASTERCARD | 8472 5703 7587 1189;2024-03-18T18:00
